,Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level,Passed
11828,S11829,5.9,64.5,89.2,No,Master,No
11830,S11831,7.2,66.7,73.9,Yes,Associate,No
11832,S11833,12.2,76.3,88.2,No,Bachelor,Yes
11833,S11834,2.0,70.3,85.5,Yes,Bachelor,Yes
11834,S11835,2.8,64.9,90.3,No,Associate,No
11836,S11837,9.9,92.9,46.6,No,Associate,No
11840,S11841,13.0,94.6,68.2,No,High School,No
11842,S11843,13.8,75.8,30.8,No,Bachelor,No
11843,S11844,7.4,79.2,68.9,No,Bachelor,Yes
11845,S11846,9.5,64.1,83.1,No,Master,Yes
11846,S11847,15.2,62.8,56.8,No,Master,No
11847,S11848,3.5,66.0,49.2,No,Associate,Yes
11850,S11851,12.3,87.2,73.2,Yes,Bachelor,Yes
11851,S11852,10.8,68.5,66.7,Yes,Bachelor,No
11852,S11853,16.2,60.1,47.0,Yes,Bachelor,Yes
11853,S11854,12.2,76.8,58.7,Yes,High School,Yes
11854,S11855,7.2,80.9,88.4,No,Bachelor,Yes
11857,S11858,15.1,87.3,57.1,No,Associate,Yes
11862,S11863,13.1,94.8,60.4,No,High School,No
11863,S11864,18.2,76.3,84.3,No,Associate,Yes
11864,S11865,9.1,82.3,47.7,No,Associate,No
11868,S11869,11.7,80.4,64.9,Yes,Master,No
11869,S11870,12.3,57.2,65.0,Yes,Bachelor,No
11870,S11871,18.4,96.8,53.9,Yes,Bachelor,No
11874,S11875,8.2,90.0,72.2,No,Bachelor,No
11876,S11877,9.0,79.8,45.6,Yes,Associate,Yes
11878,S11879,11.5,60.9,76.8,No,Bachelor,Yes
11879,S11880,6.9,93.5,71.5,No,Bachelor,No
11880,S11881,10.4,98.4,63.2,No,Bachelor,No
11881,S11882,8.3,93.5,71.0,No,Bachelor,No
11882,S11883,8.3,61.5,86.7,No,Master,Yes
11883,S11884,10.4,70.3,78.9,No,Associate,Yes
11885,S11886,13.8,69.1,71.7,Yes,Associate,No
11886,S11887,9.4,58.2,87.1,Yes,Associate,Yes
11889,S11890,6.4,68.6,64.6,Yes,Master,No
11891,S11892,20.2,60.5,62.0,No,Bachelor,Yes
11892,S11893,5.4,74.7,49.7,Yes,Associate,Yes
11893,S11894,8.6,91.5,80.9,Yes,Bachelor,Yes
11894,S11895,8.1,84.8,58.5,No,Bachelor,Yes
11896,S11897,8.3,50.8,80.7,Yes,Master,Yes
11897,S11898,11.4,59.9,85.7,No,Associate,Yes
11898,S11899,1.4,66.7,65.9,Yes,High School,Yes
11900,S11901,13.2,81.0,75.6,No,Bachelor,Yes
11904,S11905,8.8,92.8,68.6,No,Associate,Yes
11906,S11907,12.7,55.4,70.3,Yes,Associate,Yes
11909,S11910,9.7,66.7,75.5,Yes,Bachelor,Yes
11912,S11913,9.3,74.6,44.5,No,Associate,No
11913,S11914,6.4,70.1,46.7,Yes,High School,Yes
11916,S11917,13.9,97.8,83.6,Yes,Associate,No
11917,S11918,14.2,71.4,51.9,No,Associate,No
11920,S11921,13.6,90.3,42.2,No,Associate,No
11921,S11922,11.5,75.0,64.7,No,Bachelor,No
11925,S11926,10.4,96.1,69.8,Yes,Master,No
11928,S11929,6.9,70.3,38.4,No,Associate,No
11931,S11932,20.9,93.7,67.2,Yes,Master,Yes
11932,S11933,8.0,73.1,78.0,No,Master,Yes
11934,S11935,8.1,68.5,63.9,No,Master,Yes
11935,S11936,11.3,59.3,48.3,Yes,High School,No
11936,S11937,14.0,98.3,67.3,No,High School,No
11937,S11938,7.1,45.0,37.7,Yes,Master,Yes
11941,S11942,14.0,57.4,83.1,Yes,Master,No
11942,S11943,13.9,77.5,75.7,Yes,Bachelor,Yes
11947,S11948,2.7,60.5,40.3,No,Master,Yes
11948,S11949,5.9,91.7,31.9,Yes,Bachelor,Yes
11955,S11956,7.5,95.9,70.6,No,Bachelor,No
11958,S11959,5.8,58.8,67.8,No,Associate,Yes
11963,S11964,5.0,90.8,70.8,Yes,High School,No
11964,S11965,5.9,70.0,85.7,Yes,Master,No
11967,S11968,17.7,52.6,40.8,No,Associate,No
11968,S11969,11.9,73.2,67.0,Yes,High School,Yes
11971,S11972,2.7,68.7,62.4,Yes,Bachelor,Yes
11972,S11973,5.2,57.4,60.3,No,Master,No
11975,S11976,3.1,69.0,74.6,No,Master,Yes
11976,S11977,11.0,66.5,86.3,Yes,Master,No
11978,S11979,11.8,89.7,78.0,Yes,Bachelor,Yes
11980,S11981,3.4,24.6,74.8,No,High School,Yes
11981,S11982,8.6,66.0,78.0,Yes,Associate,No
11983,S11984,8.5,58.5,31.0,No,Bachelor,No
11984,S11985,13.2,96.1,49.1,Yes,High School,No
11985,S11986,13.6,64.1,67.3,No,Master,Yes
11987,S11988,14.4,79.9,58.8,Yes,Master,No
11988,S11989,22.7,74.8,72.7,No,Bachelor,No
11989,S11990,18.6,56.6,60.7,No,Associate,Yes
11990,S11991,7.4,95.4,66.2,Yes,High School,No
11992,S11993,8.0,85.6,93.2,No,Master,Yes
11993,S11994,5.3,84.7,54.2,No,Associate,Yes
11994,S11995,12.3,96.8,64.3,No,High School,No
12001,S12002,0.6,53.0,56.2,Yes,Bachelor,Yes
12003,S12004,9.8,88.4,81.9,No,High School,No
12004,S12005,10.1,92.3,60.5,No,Associate,Yes
12008,S12009,8.2,81.6,53.6,Yes,High School,Yes
12012,S12013,6.8,87.5,96.7,Yes,Master,No
12014,S12015,10.1,82.8,78.0,No,Bachelor,Yes
12018,S12019,13.2,67.4,78.4,Yes,High School,No
12024,S12025,14.8,86.7,79.5,Yes,Bachelor,No
12026,S12027,4.4,95.0,66.9,No,Master,No
12027,S12028,22.2,51.9,72.9,Yes,Master,No
12033,S12034,9.6,78.3,61.5,No,Master,No
12034,S12035,16.5,85.8,60.9,Yes,High School,Yes
12036,S12037,8.7,45.1,47.7,No,Master,No
12039,S12040,4.6,93.1,42.4,No,Associate,No
12040,S12041,11.6,98.3,56.5,No,Associate,No
12041,S12042,9.5,99.3,47.3,Yes,Bachelor,No
12045,S12046,11.3,53.6,80.0,No,Associate,No
12049,S12050,7.7,79.8,58.3,No,Bachelor,No
12050,S12051,15.4,61.1,65.4,No,Associate,No
12051,S12052,15.6,81.6,78.4,No,High School,No
12052,S12053,15.4,47.6,77.5,No,High School,Yes
12053,S12054,6.7,75.8,44.8,No,High School,Yes
12056,S12057,3.1,97.3,67.4,No,High School,No
12058,S12059,9.9,35.8,77.3,Yes,High School,No
12061,S12062,3.4,72.1,65.9,No,High School,Yes
12063,S12064,11.1,92.9,62.6,No,Associate,Yes
12064,S12065,13.4,80.1,58.3,No,Master,No
12066,S12067,11.7,52.0,94.2,No,Bachelor,No
12067,S12068,8.3,62.4,44.9,Yes,Bachelor,Yes
12070,S12071,13.5,84.4,97.7,No,Bachelor,Yes
12071,S12072,14.0,95.6,99.7,Yes,Associate,No
12074,S12075,4.8,57.1,50.1,No,High School,No
12075,S12076,12.3,91.7,55.7,Yes,Master,Yes
12078,S12079,18.4,78.5,50.5,No,Associate,No
12079,S12080,13.6,73.1,66.3,Yes,High School,Yes
12080,S12081,16.3,84.3,52.4,No,Bachelor,No
12081,S12082,10.5,69.2,85.7,Yes,High School,No
12082,S12083,6.0,57.3,52.5,No,High School,Yes
12083,S12084,9.7,76.8,54.7,No,Associate,Yes
12084,S12085,6.0,84.2,66.7,Yes,Associate,Yes
12085,S12086,17.8,85.5,45.4,No,Bachelor,No
12087,S12088,12.6,96.3,42.5,Yes,High School,Yes
12093,S12094,8.4,52.6,76.0,No,High School,No
12094,S12095,13.3,85.0,50.2,Yes,Associate,No
12095,S12096,11.1,85.4,57.9,Yes,High School,No
12096,S12097,16.7,83.5,60.1,Yes,High School,Yes
12097,S12098,7.0,86.1,77.1,Yes,Associate,No
12098,S12099,13.5,77.5,80.8,Yes,Bachelor,Yes
12101,S12102,5.4,78.0,36.0,Yes,Bachelor,Yes
12103,S12104,15.6,26.4,65.7,Yes,High School,No
12104,S12105,12.3,99.1,86.2,Yes,Associate,Yes
12106,S12107,9.3,64.1,63.2,No,Bachelor,Yes
12107,S12108,20.1,50.7,58.3,Yes,Bachelor,Yes
12108,S12109,10.6,68.9,72.9,Yes,High School,Yes
12109,S12110,8.4,82.7,68.9,No,Bachelor,Yes
12111,S12112,13.8,58.7,97.1,No,High School,No
12114,S12115,8.4,85.8,75.7,Yes,Master,No
12115,S12116,13.6,56.7,64.3,No,High School,Yes
12116,S12117,10.8,92.4,56.4,No,Master,Yes
12118,S12119,6.2,96.3,67.6,Yes,Master,No
12120,S12121,14.7,85.6,78.4,Yes,Master,No
12121,S12122,9.6,65.8,76.3,Yes,Bachelor,No
12123,S12124,8.5,67.5,45.9,Yes,Master,Yes
12125,S12126,7.0,67.9,69.4,No,Associate,Yes
12128,S12129,15.9,70.5,56.4,Yes,Associate,Yes
12129,S12130,7.4,86.4,65.0,No,High School,No
12131,S12132,11.6,87.0,62.9,Yes,Master,No
12132,S12133,4.8,72.3,67.5,Yes,Bachelor,No
12134,S12135,8.1,94.8,73.5,Yes,High School,Yes
12136,S12137,9.8,91.5,40.9,Yes,Master,Yes
12137,S12138,10.4,69.7,74.7,Yes,Master,Yes
12138,S12139,5.4,86.4,90.2,No,High School,Yes
12139,S12140,15.0,91.5,44.2,Yes,High School,Yes
12140,S12141,4.2,80.0,70.1,Yes,High School,Yes
12143,S12144,18.0,80.9,53.6,Yes,High School,Yes
12145,S12146,13.5,96.1,68.3,No,Bachelor,Yes
12146,S12147,15.4,44.8,44.5,No,Associate,No
12148,S12149,8.4,76.0,70.5,Yes,Bachelor,Yes
12151,S12152,8.7,70.9,49.2,Yes,Master,Yes
12152,S12153,15.9,84.7,60.9,No,Bachelor,No
12154,S12155,13.5,55.8,87.8,Yes,High School,No
12155,S12156,5.2,68.5,71.4,Yes,Master,No
12158,S12159,6.7,80.4,83.2,No,High School,No
12160,S12161,7.9,79.7,76.4,No,High School,Yes
12163,S12164,10.3,77.3,59.8,Yes,Associate,No
12164,S12165,17.8,32.0,91.7,Yes,Associate,No
12169,S12170,10.4,86.4,92.2,No,High School,No
12170,S12171,22.6,36.9,32.8,No,High School,Yes
12171,S12172,11.9,39.7,40.8,No,Associate,No
12175,S12176,8.4,98.6,59.9,Yes,Master,Yes
12177,S12178,5.6,87.0,80.0,Yes,Associate,No
12181,S12182,11.5,100.0,80.6,No,Master,Yes
12182,S12183,9.5,47.4,66.9,Yes,High School,No
12184,S12185,12.6,64.1,60.9,Yes,Bachelor,No
12187,S12188,7.9,76.9,69.9,No,Bachelor,Yes
12189,S12190,5.5,73.9,77.7,Yes,Associate,Yes
12192,S12193,11.3,42.2,41.4,Yes,Master,No
12194,S12195,13.5,74.8,79.6,Yes,High School,Yes
12196,S12197,6.7,79.3,71.0,Yes,High School,Yes
12197,S12198,10.9,58.7,68.0,No,Master,Yes
12198,S12199,5.8,54.3,54.4,Yes,High School,Yes
12199,S12200,10.1,67.0,79.3,Yes,High School,No
12200,S12201,11.7,72.6,61.8,No,Bachelor,Yes
12202,S12203,3.5,63.6,74.0,No,High School,Yes
12205,S12206,13.8,92.5,67.3,Yes,Master,Yes
12206,S12207,14.2,72.2,71.2,Yes,High School,No
12207,S12208,12.9,54.2,64.0,Yes,High School,Yes
12208,S12209,16.5,92.7,55.1,Yes,High School,No
12209,S12210,4.6,55.1,54.3,No,Bachelor,Yes
12210,S12211,3.1,34.5,55.0,No,Master,No
12211,S12212,10.0,86.3,57.3,Yes,Associate,Yes
12213,S12214,16.2,68.3,73.2,No,High School,Yes
12214,S12215,16.1,88.9,54.3,Yes,Associate,Yes
12215,S12216,7.8,56.4,80.3,Yes,Master,No
12216,S12217,8.1,43.0,93.2,Yes,Associate,No
12218,S12219,10.3,73.8,58.1,Yes,Associate,Yes
12220,S12221,12.8,87.5,60.8,No,High School,No
12222,S12223,14.7,78.3,60.0,Yes,Associate,No
12223,S12224,12.2,78.3,49.5,No,Bachelor,Yes
12225,S12226,16.7,91.3,69.7,No,Master,No
12227,S12228,9.5,84.9,95.4,No,High School,No
12228,S12229,14.8,62.6,65.8,Yes,High School,No
12229,S12230,6.4,68.7,53.3,Yes,Associate,Yes
12231,S12232,12.7,62.3,95.6,Yes,High School,No
12233,S12234,9.6,82.6,51.2,No,High School,No
12234,S12235,9.2,68.2,46.0,No,Associate,No
12235,S12236,7.2,89.4,45.6,No,High School,Yes
12236,S12237,21.5,66.2,75.5,Yes,Bachelor,No
12237,S12238,6.2,93.9,60.6,Yes,Bachelor,No
12238,S12239,15.0,77.6,54.7,Yes,Master,No
12240,S12241,4.6,57.0,51.8,Yes,Master,No
12241,S12242,10.5,70.3,80.2,No,High School,Yes
12242,S12243,13.2,78.9,49.9,Yes,Bachelor,No
12245,S12246,24.7,95.4,66.9,Yes,High School,No
12247,S12248,6.7,81.7,87.7,No,Master,Yes
12248,S12249,12.3,64.9,82.0,No,Associate,No
12253,S12254,14.3,44.7,55.9,Yes,Bachelor,Yes
12255,S12256,6.5,79.2,38.7,No,High School,Yes
12256,S12257,14.1,92.2,67.4,Yes,Master,Yes
12258,S12259,3.6,77.8,67.2,No,Associate,No
12259,S12260,13.6,83.6,81.4,No,High School,Yes
12262,S12263,15.6,60.5,93.9,No,Associate,Yes
12263,S12264,7.2,58.5,62.1,Yes,Bachelor,Yes
12264,S12265,2.5,64.4,46.1,No,Bachelor,Yes
12265,S12266,10.7,69.7,44.2,No,Associate,No
12266,S12267,7.0,99.8,62.2,No,Master,Yes
12268,S12269,5.6,58.1,64.8,No,Bachelor,No
12274,S12275,11.0,78.1,52.5,No,Associate,No
12275,S12276,15.1,60.9,78.5,No,Master,No
12279,S12280,4.0,67.1,60.1,Yes,Bachelor,No
12281,S12282,7.6,76.7,58.6,No,Associate,No
12283,S12284,13.8,68.5,69.4,Yes,High School,No
12284,S12285,9.3,71.0,61.5,No,Associate,No
12288,S12289,8.3,84.0,73.9,No,Associate,No
12291,S12292,3.5,73.6,43.5,No,High School,No
12292,S12293,15.6,94.6,70.7,No,Bachelor,Yes
12293,S12294,18.0,59.9,46.6,Yes,High School,No
12296,S12297,8.3,75.7,49.5,Yes,Associate,Yes
12300,S12301,11.1,49.4,88.7,Yes,Associate,Yes
12302,S12303,16.5,38.7,79.9,No,Master,Yes
12304,S12305,5.8,94.3,82.1,No,Associate,Yes
12306,S12307,13.4,70.9,35.8,No,High School,Yes
12307,S12308,15.2,58.7,82.4,Yes,High School,Yes
12310,S12311,18.2,92.0,69.5,Yes,Bachelor,Yes
12311,S12312,12.2,80.9,69.4,No,High School,Yes
12312,S12313,5.8,90.2,70.7,No,High School,No
12313,S12314,3.5,96.6,83.0,No,High School,Yes
12318,S12319,15.8,91.4,63.3,Yes,High School,Yes
12319,S12320,8.8,30.5,71.7,Yes,Master,Yes
12320,S12321,13.1,70.1,95.0,No,High School,No
12323,S12324,7.9,52.9,64.8,Yes,High School,No
12326,S12327,4.0,51.1,57.3,No,Associate,No
12328,S12329,8.2,55.7,50.3,No,Master,Yes
12330,S12331,5.6,43.1,60.7,Yes,High School,No
12332,S12333,12.5,86.4,60.3,Yes,Bachelor,No
12335,S12336,3.4,94.7,79.2,Yes,Bachelor,No
12338,S12339,12.4,82.1,80.9,No,Bachelor,Yes
12339,S12340,12.4,89.7,69.6,Yes,High School,No
12340,S12341,8.1,82.3,59.8,Yes,Master,No
12341,S12342,8.4,84.8,72.1,No,Master,Yes
12343,S12344,13.8,56.2,62.8,Yes,Associate,No
12344,S12345,5.4,64.2,91.2,Yes,Bachelor,No
12347,S12348,9.8,69.1,50.1,Yes,Bachelor,Yes
12350,S12351,6.8,87.1,82.3,No,Associate,No
12354,S12355,14.6,70.4,80.0,Yes,Associate,No
12355,S12356,12.8,75.0,47.0,No,High School,Yes
12357,S12358,10.2,58.7,73.4,No,High School,No
12359,S12360,10.7,80.8,55.4,Yes,Associate,No
12360,S12361,17.7,70.6,52.7,Yes,Master,No
12363,S12364,7.5,66.6,66.9,No,High School,Yes
12364,S12365,13.7,89.8,50.0,No,Master,Yes
12365,S12366,1.6,67.8,51.8,No,Bachelor,No
12367,S12368,12.9,51.9,70.5,No,High School,Yes
12370,S12371,11.5,41.7,32.0,No,Associate,No
12371,S12372,9.0,95.9,44.2,No,Bachelor,Yes
12372,S12373,12.7,63.1,62.4,Yes,Master,Yes
12377,S12378,0.9,68.6,78.1,No,High School,No
12378,S12379,12.3,80.8,69.0,Yes,Bachelor,No
12384,S12385,8.0,85.2,64.4,Yes,Bachelor,Yes
12386,S12387,8.4,72.1,67.9,No,Master,Yes
12387,S12388,3.0,80.9,64.1,Yes,Associate,Yes
12388,S12389,7.3,70.1,68.9,No,Master,Yes
12389,S12390,9.5,76.7,69.9,No,Master,No
12392,S12393,16.7,82.6,76.4,No,High School,Yes
12393,S12394,6.1,64.9,47.7,No,High School,No
12395,S12396,9.2,92.5,68.9,No,High School,Yes
12397,S12398,9.2,54.6,60.6,Yes,Associate,Yes
12402,S12403,9.0,60.5,53.1,No,High School,Yes
12405,S12406,10.5,37.7,63.7,No,Bachelor,Yes
12406,S12407,14.3,43.9,67.5,No,Bachelor,No
12411,S12412,6.4,60.1,59.4,No,Associate,Yes
12412,S12413,11.2,99.1,35.2,Yes,Bachelor,No
12414,S12415,17.6,30.6,84.6,No,Master,No
12419,S12420,9.1,56.1,66.5,Yes,Master,Yes
12420,S12421,5.2,80.2,54.8,No,High School,Yes
12422,S12423,3.9,42.0,75.1,No,Bachelor,Yes
12423,S12424,14.3,88.1,87.7,No,Associate,Yes
12426,S12427,6.4,62.0,78.9,Yes,High School,No
12428,S12429,8.8,49.1,37.7,Yes,Associate,Yes
12430,S12431,16.7,81.4,44.6,Yes,High School,No
12431,S12432,17.7,95.6,71.9,Yes,Master,No
12433,S12434,11.6,84.1,51.6,Yes,High School,Yes
12434,S12435,6.1,79.1,42.8,Yes,Bachelor,Yes
12435,S12436,8.8,83.3,49.6,No,Master,Yes
12437,S12438,8.9,72.0,83.9,No,Bachelor,No
12440,S12441,11.5,52.9,78.9,Yes,Bachelor,No
12441,S12442,6.8,46.9,65.8,Yes,Bachelor,No
12444,S12445,5.7,86.0,64.6,No,Associate,No
12446,S12447,6.0,90.4,75.4,Yes,High School,No
12447,S12448,4.0,93.0,98.0,No,Master,Yes
12448,S12449,11.6,90.5,45.5,No,High School,Yes
12449,S12450,9.4,97.5,61.8,Yes,Master,Yes
12450,S12451,9.0,78.3,80.6,No,Master,No
12451,S12452,17.0,96.4,58.8,Yes,Bachelor,Yes
12456,S12457,14.4,71.7,69.8,No,High School,No
12458,S12459,1.0,67.2,52.0,Yes,High School,Yes
12459,S12460,9.8,76.8,67.1,No,High School,No
12460,S12461,2.3,81.8,64.0,Yes,High School,No
12463,S12464,9.2,83.4,56.6,Yes,Associate,No
12464,S12465,11.3,62.9,66.9,No,High School,No
12466,S12467,8.5,91.9,55.7,Yes,High School,No
12469,S12470,13.8,77.9,61.1,Yes,Associate,Yes
12472,S12473,11.6,25.2,65.2,Yes,High School,Yes
12474,S12475,11.8,86.4,96.2,No,Associate,Yes
12476,S12477,8.9,91.2,35.4,Yes,Bachelor,Yes
12477,S12478,8.0,95.8,68.6,No,High School,Yes
12478,S12479,12.7,70.7,66.9,No,Master,Yes
12479,S12480,1.1,87.0,55.6,Yes,Associate,Yes
12482,S12483,5.4,59.6,49.2,Yes,Associate,Yes
12483,S12484,15.3,71.3,77.8,Yes,Bachelor,Yes
12485,S12486,9.3,56.3,66.1,No,High School,No
12486,S12487,11.5,96.4,47.6,Yes,High School,Yes
12488,S12489,9.9,73.0,70.4,Yes,High School,No
12490,S12491,13.5,66.0,65.4,Yes,High School,No
12493,S12494,2.8,66.8,65.3,No,Associate,Yes
12495,S12496,7.3,56.7,40.6,Yes,Master,Yes
12496,S12497,14.6,29.1,65.5,Yes,Associate,Yes
12501,S12502,4.9,83.4,69.4,Yes,Associate,No
12502,S12503,6.2,59.8,35.3,No,High School,No
12503,S12504,5.1,98.7,62.3,No,Master,Yes
12504,S12505,9.3,92.2,74.6,No,Associate,No
12509,S12510,12.8,68.5,84.7,No,High School,Yes
12512,S12513,8.2,84.6,69.9,No,Bachelor,Yes
12515,S12516,9.7,63.7,48.7,No,Master,No
12522,S12523,5.3,83.2,90.0,No,Bachelor,No
12523,S12524,7.2,34.1,50.0,No,Bachelor,Yes
12524,S12525,6.1,71.9,48.7,Yes,Associate,No
12525,S12526,13.3,67.2,54.3,Yes,Associate,Yes
12527,S12528,16.7,80.2,84.9,Yes,Associate,No
12529,S12530,10.1,73.6,62.4,Yes,High School,No
12531,S12532,7.2,85.6,57.8,Yes,Bachelor,Yes
12532,S12533,11.4,61.8,49.8,Yes,High School,No
12537,S12538,11.6,73.5,51.6,No,Associate,Yes
12539,S12540,6.3,77.8,61.0,Yes,High School,Yes
12540,S12541,5.7,62.8,64.0,Yes,Bachelor,No
12542,S12543,8.4,60.8,69.1,Yes,Master,No
12544,S12545,6.7,79.6,64.9,Yes,Master,Yes
12546,S12547,8.9,39.3,80.6,Yes,High School,Yes
12547,S12548,10.8,84.0,62.7,Yes,High School,No
12549,S12550,15.8,56.5,49.3,Yes,Bachelor,No
12550,S12551,12.5,90.6,57.6,No,Associate,No
12552,S12553,12.6,71.8,75.6,Yes,Bachelor,Yes
12553,S12554,13.0,57.1,71.2,No,Associate,No
12555,S12556,2.5,86.5,59.5,Yes,Master,No
12556,S12557,10.0,72.4,76.6,No,High School,Yes
12557,S12558,10.0,50.3,73.3,Yes,High School,No
12558,S12559,4.4,57.4,56.9,Yes,Associate,Yes
12559,S12560,2.7,66.3,93.7,No,Bachelor,No
12560,S12561,9.6,82.3,65.5,Yes,Associate,Yes
12561,S12562,8.8,77.1,68.0,Yes,High School,No
12564,S12565,4.5,60.1,64.8,No,High School,Yes
12569,S12570,7.6,59.5,42.0,No,Associate,No
12570,S12571,4.6,76.8,76.3,Yes,Associate,Yes
12571,S12572,11.3,54.4,42.2,Yes,Bachelor,Yes
12575,S12576,4.4,50.2,72.7,No,Bachelor,Yes
12577,S12578,9.8,93.8,49.1,Yes,Master,No
12579,S12580,4.3,59.5,57.9,No,Master,No
12581,S12582,8.0,50.3,89.6,Yes,Master,Yes
12587,S12588,11.4,69.4,53.6,No,High School,Yes
12589,S12590,12.5,69.0,22.6,No,High School,Yes
12590,S12591,4.2,58.8,57.1,Yes,High School,Yes
12592,S12593,5.9,74.3,47.0,No,Associate,No
12593,S12594,24.8,65.9,53.6,Yes,Bachelor,No
12594,S12595,17.3,64.1,68.6,No,Master,Yes
12597,S12598,13.8,70.2,67.7,Yes,Associate,Yes
12598,S12599,13.9,66.0,67.1,No,High School,Yes
12599,S12600,12.2,30.9,64.6,No,High School,No
12603,S12604,8.3,92.9,56.6,No,Master,Yes
12605,S12606,11.8,33.5,71.1,No,High School,Yes
12607,S12608,14.0,62.2,73.4,No,Bachelor,No
12609,S12610,11.6,56.7,95.2,No,Bachelor,Yes
12610,S12611,11.1,42.1,69.4,Yes,Master,Yes
12612,S12613,2.4,50.8,85.7,Yes,Bachelor,No
12616,S12617,18.4,68.8,56.2,Yes,Master,No
12619,S12620,11.2,77.7,93.2,Yes,High School,No
12626,S12627,9.4,60.0,85.4,Yes,High School,No
12627,S12628,8.3,34.3,68.0,No,Associate,Yes
12631,S12632,9.5,95.7,66.1,No,Associate,Yes
12632,S12633,9.3,74.1,69.3,No,High School,No
12634,S12635,10.1,60.8,63.9,Yes,High School,No
12641,S12642,9.0,38.6,61.3,Yes,Master,Yes
12644,S12645,11.5,82.4,66.4,No,High School,Yes
12645,S12646,18.1,66.6,54.2,Yes,Associate,No
12651,S12652,3.2,36.0,79.6,No,Master,No
12653,S12654,11.9,36.5,70.3,Yes,Associate,Yes
12654,S12655,10.8,59.4,56.2,Yes,High School,No
12657,S12658,13.3,90.7,85.2,Yes,Master,No
12658,S12659,12.4,69.0,80.0,No,Bachelor,No
12659,S12660,13.1,69.9,41.3,No,Bachelor,Yes
12660,S12661,8.0,59.0,58.3,Yes,High School,No
12661,S12662,9.7,96.8,77.5,Yes,High School,No
12662,S12663,5.5,99.2,46.6,No,Master,No
12663,S12664,8.3,48.2,65.4,No,High School,No
12664,S12665,8.2,40.6,38.6,No,High School,No
12666,S12667,10.7,71.1,64.5,No,Bachelor,No
12667,S12668,8.4,80.2,47.4,Yes,Bachelor,Yes
12670,S12671,9.4,73.4,51.1,Yes,Bachelor,No
12672,S12673,8.4,92.2,80.4,No,Master,Yes
12674,S12675,2.1,64.2,38.3,No,Master,No
12675,S12676,11.8,92.8,55.4,Yes,Associate,Yes
12676,S12677,13.2,67.9,69.2,Yes,High School,Yes
12678,S12679,15.2,60.8,62.6,Yes,Associate,No
12681,S12682,10.8,66.1,61.6,Yes,Associate,Yes
12682,S12683,13.4,52.1,64.3,No,Associate,No
12683,S12684,2.1,87.7,72.3,Yes,High School,Yes
12687,S12688,9.3,83.3,71.7,Yes,Master,Yes
12688,S12689,15.9,86.7,72.2,No,Master,No
12698,S12699,3.1,82.4,56.0,Yes,Associate,No
12699,S12700,7.4,77.5,73.6,Yes,Bachelor,Yes
12700,S12701,9.1,65.9,74.9,Yes,High School,Yes
12701,S12702,12.5,49.6,59.4,No,High School,Yes
12702,S12703,5.0,69.6,59.4,No,Associate,Yes
12703,S12704,6.2,79.3,67.0,No,Bachelor,Yes
12705,S12706,14.7,66.8,57.6,No,Bachelor,Yes
12706,S12707,6.9,82.6,44.2,No,Associate,No
12708,S12709,26.4,69.3,45.5,Yes,Master,Yes
12709,S12710,13.9,59.0,47.2,Yes,Associate,No
12711,S12712,14.3,70.9,57.2,No,Associate,Yes
12712,S12713,9.4,45.7,72.4,Yes,Associate,No
12715,S12716,10.5,75.5,54.4,No,Associate,No
12719,S12720,5.3,87.8,78.7,No,Bachelor,No
12726,S12727,14.1,67.4,44.7,Yes,Associate,No
12728,S12729,10.2,76.7,82.6,No,Associate,Yes
12729,S12730,12.0,68.9,43.5,Yes,Bachelor,Yes
12731,S12732,12.9,53.8,62.7,No,Bachelor,No
12732,S12733,2.7,95.3,74.8,Yes,Master,Yes
12734,S12735,8.0,79.2,77.9,No,High School,No
12737,S12738,6.9,68.5,68.3,Yes,Bachelor,No
12741,S12742,17.5,75.4,65.6,Yes,Associate,Yes
12742,S12743,16.0,74.1,83.5,No,Master,No
12743,S12744,8.6,96.9,50.2,No,Associate,No
12744,S12745,11.5,59.8,80.5,Yes,Bachelor,No
12746,S12747,19.9,90.8,62.6,Yes,High School,No
12747,S12748,6.0,69.4,48.9,No,Associate,No
12748,S12749,10.7,80.6,55.3,No,High School,Yes
12749,S12750,7.9,87.5,60.6,No,Master,Yes
12750,S12751,2.8,66.4,74.2,Yes,Bachelor,Yes
12751,S12752,21.0,95.7,70.5,Yes,Associate,Yes
12754,S12755,1.3,65.5,72.3,Yes,Associate,No
12756,S12757,12.1,51.9,59.2,No,Associate,Yes
12757,S12758,5.9,41.6,59.9,Yes,Associate,No
12758,S12759,12.9,66.3,95.5,Yes,High School,No
12759,S12760,8.7,55.8,55.5,No,High School,No
12763,S12764,10.4,62.4,72.2,Yes,Master,No
12765,S12766,13.1,71.1,70.1,No,Master,No
12766,S12767,10.1,50.1,75.6,Yes,Associate,Yes
12767,S12768,11.0,88.4,74.7,Yes,Master,No
12768,S12769,8.8,80.2,74.4,No,High School,Yes
12769,S12770,10.6,99.1,57.2,Yes,Associate,Yes
12773,S12774,13.6,91.7,75.3,Yes,Master,Yes
12776,S12777,4.6,70.4,49.0,Yes,High School,Yes
12777,S12778,16.3,69.4,61.3,No,Master,No
12780,S12781,15.7,89.9,68.2,Yes,Master,No
12782,S12783,12.0,36.7,99.8,Yes,Associate,No
